Property ID,Expedia ID,Property Name,Portfolio Name,Billing Type,OTA,Oldest Start Date,Latest End Date
699964530245786c312ef942,,"106 Jefferson Huntsville, Curio Collection by Hilton",Valor,VCC,Agoda,09/01/2025,12/31/2025
68e7547eebdc7d1acf0bc2b7,66425730,"106 Jefferson Huntsville, Curio Collection by Hilton 66425730",Valor,DB,Expedia,07/28/2025,05/31/2026
68e7547eebdc7d1acf0bc2b7,66425730,"106 Jefferson Huntsville, Curio Collection by Hilton 66425730",Valor,VCC,Agoda,07/15/2025,05/15/2026
68e7547eebdc7d1acf0bc2b7,66425730,"106 Jefferson Huntsville, Curio Collection by Hilton 66425730",Valor,VCC,Booking,12/31/2026,12/31/2026
68e7547eebdc7d1acf0bc2b7,66425730,"106 Jefferson Huntsville, Curio Collection by Hilton 66425730",Valor,VCC,Expedia,10/15/2024,06/30/2026
68dcc0113ffa91c4262d20a7,12503207,11 Howard NYC,11 Howard NYC,VCC,Expedia,04/25/2025,08/31/2025
695f4406690909b70203c2a9,12503207,"11 Howard, New York, a Member of Design Hotels",11 Howard NYC,DB,Expedia,01/12/2025,01/12/2026
695f4406690909b70203c2a9,12503207,"11 Howard, New York, a Member of Design Hotels",11 Howard NYC,VCC,Booking,12/31/2026,12/31/2026
695f4406690909b70203c2a9,12503207,"11 Howard, New York, a Member of Design Hotels",11 Howard NYC,VCC,Expedia,01/08/2025,05/31/2026
698140e2a3e11139083673f8,5486907,21c Bentonville 5486907,Ennismore,VCC,Expedia,02/25/2025,05/31/2026
69aec1ebde95a513ab0b458c,,21c Chicago,Ennismore,VCC,Agoda,10/01/2025,12/31/2025
6979aa291da9b7f5519f2b6c,26728,21c Chicago 26728,Ennismore,VCC,Booking,12/31/2026,12/31/2026
6979aa291da9b7f5519f2b6c,26728,21c Chicago 26728,Ennismore,VCC,Expedia,02/25/2025,05/30/2026
698140e2a3e11139083673f9,5287002,21c Cincinnati 5287002,Ennismore,VCC,Expedia,02/25/2025,05/31/2026
6a49e19bb94f6e7fd6fd26ed,8720744,21c Durham  8720744,Ennismore,VCC,Expedia,01/01/2026,05/31/2026
698140e2a3e11139083673fa,8720744,21c Durham 8720744,Ennismore,VCC,Expedia,02/25/2025,12/31/2025
698140e2a3e11139083673fb,19951183,21c Kansas City 19951183,Ennismore,VCC,Expedia,02/25/2025,05/30/2026
698140e2a3e11139083673fc,12243775,21c Lexington 12243775,Ennismore,VCC,Expedia,02/25/2025,05/31/2026
698140e2a3e11139083673fd,1413350,21c Louisville 1413350,Ennismore,VCC,Expedia,02/25/2025,05/31/2026
698140e2a3e11139083673fe,89164592,21c St Louis 89164592,Ennismore,VCC,Expedia,02/25/2025,05/31/2026
698140e2a3e11139083673ff,14630416,"25hours Hotel Altes Hafenamt, Benutzer-EUR 14630416",Ennismore,VCC,Expedia,02/25/2025,05/31/2026
